"Table 3: GDHI by combined authority and city region: GDHI per head of population at current basic prices, pounds",,,,,,,,,,,,,,,,,,,,,,,,,,,
Geo code,Area,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
W42000001,Cardiff Capital Region,"9,182","9,197","9,703","10,388","10,790","11,091","11,496","11,926","12,150","12,497","12,952","13,394","13,350","13,554","13,757","14,141","14,438","14,870","15,406","15,573","16,113","16,843","17,274","17,626","18,044","18,672"
W42000002,Growing Mid Wales,"8,813","8,764","9,141","9,591","9,968","10,245","10,759","11,396","11,850","12,474","12,678","13,350","13,499","13,969","14,127","14,434","14,678","15,073","15,516","15,656","16,442","17,141","17,664","18,231","18,532","19,096"
W42000003,North Wales Economic Ambition Board,"9,604","9,636","9,987","10,557","10,940","11,244","11,657","12,202","12,550","12,837","13,129","13,620","13,661","13,912","14,270","14,684","15,092","15,613","16,173","16,309","16,812","17,344","17,650","17,956","18,239","18,972"
W42000004,Swansea Bay City Region,"9,232","9,332","9,669","9,964","10,496","10,757","11,151","11,550","11,892","12,376","12,680","13,386","13,466","13,539","13,693","14,217","14,506","15,058","15,430","15,457","15,872","16,330","16,904","17,307","17,576","18,162"
Not available,Aberdeen City Region,"10,917","11,082","10,998","11,694","12,342","12,768","13,054","14,038","14,995","15,777","16,746","17,579","17,931","18,268","19,067","19,788","21,025","21,587","21,598","20,510","20,631","21,177","21,805","21,349","21,625","22,177"
Not available,Ayrshires,"8,710","8,812","9,022","9,611","10,258","10,745","11,186","11,826","12,187","12,733","13,322","13,702","13,961","14,450","14,623","14,990","15,618","15,936","16,334","16,439","16,682","17,082","17,581","17,641","18,217","19,356"
Not available,Edinburgh and South East Scotland City Region,"10,068","10,398","10,873","11,488","12,005","12,462","12,993","13,626","14,057","14,627","15,370","15,810","15,907","16,176","16,519","17,026","17,627","18,108","18,744","19,023","19,481","20,054","20,953","20,872","21,606","22,779"
Not available,Glasgow City Region,"9,314","9,498","9,997","10,627","11,093","11,487","11,818","12,239","12,644","13,145","13,807","14,300","14,480","14,568","14,734","15,124","15,516","15,943","16,521","16,812","17,151","17,551","18,097","18,157","18,656","19,552"
Not available,Scottish Island Councils,"8,493","8,700","8,953","9,363","9,736","10,045","10,355","11,040","11,453","12,012","12,964","13,843","14,760","15,196","15,409","15,798","16,298","16,799","17,553","17,811","18,040","18,616","19,462","19,485","19,893","21,091"
Not available,South of Scotland,"9,216","9,493","9,668","10,146","10,513","10,940","11,637","12,197","12,500","13,196","13,867","14,557","14,953","15,257","15,422","15,706","16,241","16,784","17,363","17,652","17,913","18,232","19,082","19,260","19,754","20,709"
Not available,Forth Valley Region,"9,646","9,830","10,214","10,615","11,261","11,494","12,057","12,827","13,159","13,852","14,537","15,031","15,083","15,109","15,637","16,216","16,711","16,929","17,383","17,787","18,250","18,747","19,331","19,105","19,568","20,585"
Not available,Tay Cities Region,"9,368","9,616","9,889","10,454","11,003","11,385","11,673","12,331","12,557","12,946","13,760","14,389","14,484","14,575","14,903","15,302","15,959","16,305","16,834","17,057","17,386","17,782","18,436","18,482","18,882","19,829"
Not available,Highlands and Islands,"8,666","8,830","9,088","9,542","10,061","10,453","10,709","11,134","11,515","12,430","13,099","14,502","14,926","15,274","15,233","15,876","16,363","16,647","17,308","17,541","17,898","18,536","19,440","19,353","19,774","20,883"
N34000001,Belfast City Region,"9,233","9,269","9,589","10,150","10,369","10,871","11,242","11,748","12,217","12,775","13,084","13,460","13,633","13,751","14,018","14,313","14,900","15,263","15,682","15,893","16,333","16,780","17,286","17,318","17,916","18,956"
N34000002,Derry-Londonderry City Region,"6,940","6,932","7,278","7,603","7,988","8,720","9,305","10,031","10,890","11,412","11,560","11,508","11,732","12,125","12,453","12,713","13,181","13,626","13,771","14,013","14,372","14,572","15,317","15,702","16,593","17,520"
Not available,Mid South West Growth Deal,"7,957","7,995","8,343","8,639","8,883","9,358","10,033","10,813","11,450","12,147","12,382","12,385","12,457","12,669","12,949","13,028","13,554","14,207","14,774","14,954","15,542","15,863","16,363","16,643","17,276","18,351"
Not available,Causeway Coast and Glens Growth Deal,"6,960","6,916","7,258","7,655","8,149","8,892","9,387","10,003","10,873","11,442","11,477","11,357","11,782","12,169","12,673","12,863","13,378","13,901","15,016","15,571","16,203","16,466","16,984","16,973","17,748","18,911"
